Order #,Order Date,Item Id,Item,Category,Quantity,Item Price,Item End Time,Payment Date,Payment Amount,Tracking #,Tax,Additional Fee,Shipping Price,Handling Price,Donation,Shipped Date,Seller
59483623,12/25/2025,251007335,(2) LEGO Building Set - Surface Space Loader LT73 & Surprising Spider (Sealed),Toys/Dolls/Games > Toys > LEGO,1,$19.99,12/25/2025,12/25/2025,$142.06,887454447964	,$0.00,$0.00,$12.08,$8.00,$0.00,12/28/2025,Goodwill Industries of the Columbia Willamette
59483746,12/25/2025,250918047,4.5lb Lot of My Little Pony Figures - Various Characters & Colors,Toys/Dolls/Games > Toys,1,$8.99,12/25/2025,12/25/2025,$34.71,441366687685	,$0.00,$0.00,$10.73,$6.00,$0.00,12/29/2025,Goodwill Industries of the Inland Northwest
59483746,12/25/2025,250918048,"My Little Pony 2"" Mini Figurine Collection",Toys/Dolls/Games > Toys,1,$8.99,12/25/2025,12/25/2025,$34.71,441366687685	,$0.00,$0.00,$10.73,$6.00,$0.00,12/29/2025,Goodwill Industries of the Inland Northwest
59483848,12/25/2025,250694537,Star Wars Men's Med Zip Up Hood Sweater Size L,Collectibles > Star Wars,1,$26.00,12/25/2025,12/25/2025,$35.88,397207316991	,$0.00,$0.00,$9.88,$0.00,$0.00,12/28/2025,Goodwill San Diego and Imperial Counties
59484365,12/25/2025,251005124,Vintage 1968 Hot Wheels 'Turbofire' Diecast Vehicle,Toys/Dolls/Games > Toys > Cars & Trucks,1,$19.99,12/25/2025,12/25/2025,$65.60,887454501987	,$0.00,$0.00,$10.61,$4.00,$0.00,12/28/2025,Goodwill Industries of the Columbia Willamette
59484365,12/25/2025,251014713,"(2) Complete Sealed Lego Kits - 40764 Easter, 21154 Minecraft",Toys/Dolls/Games > Toys > LEGO,1,$31.00,12/25/2025,12/25/2025,$65.60,887454501987	,$0.00,$0.00,$10.61,$4.00,$0.00,12/28/2025,Goodwill Industries of the Columbia Willamette
59507901,12/26/2025,250914658,Star Wars The Mandalorian Boba Fett's Starfighter & Imperial Cruiser Model Kit,Toys/Dolls/Games,1,$9.99,12/26/2025,12/26/2025,$13.00,397195407640	,$0.00,$0.00,$0.01,$3.00,$0.00,12/27/2025,Evergreen Goodwill
59507971,12/26/2025,250826346,LEGO Marvel Sets: Shuri's Lab & Rocket with Baby Groot (SEALED),Toys/Dolls/Games > Toys > LEGO,1,$19.08,12/25/2025,12/26/2025,$57.98,397253575583	,$0.00,$0.00,$10.90,$8.00,$0.00,12/29/2025,Goodwill Industries of Lane & South Coast Counties
59507971,12/26/2025,250935993,"Pokemon Collector Set with Figures, Binder, and Detective Pikachu Plush",Toys/Dolls/Games > Toys,1,$20.00,12/26/2025,12/26/2025,$57.98,397253575583	,$0.00,$0.00,$10.90,$8.00,$0.00,12/29/2025,Goodwill Industries of Lane & South Coast Counties
59508038,12/26/2025,250961804,4pc Lot Stone Blade Solforge Fusion Booster Kits 1st Edition New/Factory Sealed,Toys/Dolls/Games > Games,1,$4.99,12/26/2025,12/26/2025,$19.33,887508839857	,$0.00,$0.00,$11.34,$3.00,$0.00,12/30/2025,"Goodwill Industries of the Chesapeake, Inc."
