Item,Sale,Agreed,Cost/Split,"Aged Price",Discounts,Paid,Sold,Amount,Check#
"Board game: betrayal at house on the hill second edition  - 0EJ0CM",188487,20.00,85.00%,20.00,,07-03-2026,06-11-2026,17.00,
"Vintage Tripp NYC Daang Goodman Black Red Bondage Cargo Pants Size Medium  - 0EJ0AD",188497,185.00,85.00%,185.00,,07-03-2026,06-11-2026,157.25,
"Board game: Destinies  - 0EJ0CJ",188507,25.00,85.00%,25.00,,07-03-2026,06-11-2026,21.25,
"Pokemon Black Bolt Booster Bundle  - 0EJ09X",188650,67.00,85.00%,67.00,,07-03-2026,06-12-2026,56.95,
"Lot of 2: Metallic Star-Shaped Caltrops Gaming Tokens Lot, Small Chainmail Piece for Costume Prop Craft  - 0EJ08D",188914,58.00,85.00%,58.00,,07-03-2026,06-13-2026,49.30,
"Psychic Witch by Auryn  - 0EJ07T",189298,15.00,85.00%,15.00,,07-03-2026,06-14-2026,12.75,
"Enola Holmes Finder of Lost Souls  - 0EJ03N",189350,19.00,85.00%,19.00,,07-03-2026,06-14-2026,16.15,
"Metaphysical Paperback Book  - 0EJ09G",189353,15.00,85.00%,15.00,,07-03-2026,06-14-2026,12.75,
"Black Italian Wool Cashmere Blend Hooded Midi Coat  - 0EJ080",190075,135.00,85.00%,135.00,,07-03-2026,06-18-2026,114.75,
"Citron Santa Monica Collection XL Sheer Velvet Floral Burnout Button-Up Blouse  - 0EJ09I",190076,65.00,85.00%,65.00,,07-03-2026,06-18-2026,55.25,
"Coldwater Creek PL Red Black Textured Blazer Jacket  - 0EJ084",190076,40.00,85.00%,40.00,,07-03-2026,06-18-2026,34.00,
"Rallyman GT  - 0EJ045",190189,25.00,85.00%,25.00,,07-03-2026,06-18-2026,21.25,
"Topshop Black Faux Leather Biker Moto Jacket Women's  - 0EJ029",190314,60.00,85.00%,60.00,,07-03-2026,06-19-2026,51.00,
"Card game adventure Time  - 0EJ032",190475,12.00,85.00%,12.00,,07-03-2026,06-19-2026,10.20,
"Dice Throne Season Two  - 0EJ0B6",190559,20.00,85.00%,20.00,,07-03-2026,06-20-2026,17.00,
"SAVAGE FENTY Red Corset Womens Large  - 0EJ0A7",190657,35.00,85.00%,35.00,,07-03-2026,06-20-2026,29.75,
"Tarot Spreads by Moore  - 0EJ07V",190746,10.00,85.00%,10.00,,07-03-2026,06-20-2026,8.50,
"Tripp NYC Red Plaid Tartan Punk Goth Zipper Bondage Pants Size 36  - 0EJ01R",190978,85.00,85.00%,85.00,,07-03-2026,06-21-2026,72.25,
"D&D 3.5 Forgotten Realms Drizzt Do'Urden's Guide to Underdark  - 0EJ05I",191245,80.00,85.00%,80.00,,07-03-2026,06-22-2026,68.00,
"Disturbia Gothic Velvet Flocked Sheer Mesh Fit & Flare Dress US 6  - 0EJ0AO",191342,65.00,85.00%,65.00,,07-03-2026,06-22-2026,55.25,
"Killstar Dream Eternal Oversized Gothic Poncho Top L/XXL  - 0EJ0CZ",191500,50.00,85.00%,50.00,,07-03-2026,06-23-2026,42.50,
"Widow Dolls Kill Black Eyelet Strap Goth Punk Alternative XS NWT  - 0EJ0AH",191768,70.00,85.00%,70.00,,07-03-2026,06-24-2026,59.50,
"Dice Throne Season Two  - 0EJ0B7",191769,15.00,85.00%,15.00,,07-03-2026,06-24-2026,12.75,
"Board Game: Wingspan  - 0EJ0CO",192192,35.00,85.00%,35.00,,07-03-2026,06-26-2026,29.75,
"The World of Ice & Fire George R.R. Martin Hardcover Book Game of Thrones History  - 0EJ0D3",192562,40.00,85.00%,40.00,,07-03-2026,06-27-2026,34.00,
"(Credit) Space Rental 06/30/2026",,,,,,06-30-2026,-382.50,,
"Total for payout",,,,,,,,"1,292.85",
,,,,,,,,,
"Zweihander Fantasy Horror RPG Starter Kit  - 0EJ064",179439,25.00,85.00%,25.00,,06-05-2026,05-01-2026,21.25,
"Dreams: The Art of Boris Vallejo Hardcover Book  - 0EJ06G",179439,45.00,85.00%,45.00,,06-05-2026,05-01-2026,38.25,
"Stormbringer Dark Fantasy Roleplaying 5th Edition RPG Chaosium  - 0EJ06B",179439,90.00,85.00%,90.00,,06-05-2026,05-01-2026,76.50,
"Terraforming Mars: Ares Expedition (Expansion only)  - 0EJ04F",180135,19.00,85.00%,19.00,,06-05-2026,05-03-2026,16.15,
"Eldritch Horror  - 0EJ03M",180135,35.00,85.00%,35.00,,06-05-2026,05-03-2026,29.75,
"Pokemon ETB White Flare  - 0EJ01Z",180211,95.00,85.00%,95.00,,06-05-2026,05-04-2026,80.75,
"Pokemon Booster Bundle Black Bolt  - 0EJ021",180211,55.00,85.00%,55.00,,06-05-2026,05-04-2026,46.75,
"Hermione Granger Harry Potter Replica Wand in Box Noble Collection  - 0EJ01M",180212,35.00,85.00%,35.00,,06-05-2026,05-04-2026,29.75,
"Buffy the Vampire Slayer RPG Core Rulebook Signed OOP  - 0EJ05T",180222,165.00,85.00%,165.00,,06-05-2026,05-04-2026,140.25,
"Tokaido  - 0EJ04N",180277,25.00,85.00%,25.00,,06-05-2026,05-04-2026,21.25,
"Dungeons & Dragons Basic Set (TSR, 1981) - Missing D20  - 0EJ069",180278,110.00,85.00%,110.00,,06-05-2026,05-04-2026,93.50,
"The Hobbit & The Lord of the Rings Trilogy Faux Leather Binding by J.R.R Tolkien  - 0EJ06N",180514,45.00,85.00%,45.00,,06-05-2026,05-06-2026,38.25,
"Punk Rave Sleeveless Buckle & Lace-Up Vest - XL - Goth  - 0EJ06J",180568,50.00,85.00%,50.00,,06-05-2026,05-07-2026,42.50,
"The Last Book on the Left: Stories of Murder and Mayhem  - 0EJ05Z",180571,25.00,85.00%,25.00,,06-05-2026,05-07-2026,21.25,
"TRIPP NYC Black Cropped Moto Biker Jacket  - 0EJ08O",180609,65.00,85.00%,65.00,,06-05-2026,05-07-2026,55.25,
"Burgundy Faux Leather Zip Front Crop Top  - 0EJ06M",180610,45.00,85.00%,45.00,,06-05-2026,05-07-2026,38.25,
"City Triangles Black Beaded Empire Waist Cocktail Dress Size M  - 0EJ094",180699,30.00,85.00%,30.00,,06-05-2026,05-07-2026,25.50,
"Pathfinder RPG GM Screen II Game Master Screen Paizo Publishing Tabletop  - 0EJ013",180799,25.00,85.00%,25.00,,06-05-2026,05-08-2026,21.25,
"Pathfinder RPG Beginner Box Fantasy Tabletop Game  - 0EJ00U",180799,35.00,85.00%,35.00,,06-05-2026,05-08-2026,29.75,
"Cyberpunk 2020 RPG Night City Sourcebook R. Talsorian Games TRPG Supplement  - 0EJ00D",180816,65.00,85.00%,65.00,,06-05-2026,05-08-2026,55.25,
"The Lord of the Rings The Card Game  - 0EJ04I",180858,45.00,85.00%,45.00,,06-05-2026,05-08-2026,38.25,
"globe  - 0EJ09D",181155,25.00,85.00%,25.00,,06-05-2026,05-09-2026,21.25,
"Star Wars D20 Roleplaying Game Revised Core Rulebook (WOTC)  - 0EJ08Z",181182,45.00,85.00%,45.00,,06-05-2026,05-09-2026,38.25,
"House of Plants the Card Game  - 0EJ03P",181280,12.00,85.00%,12.00,,06-05-2026,05-10-2026,10.20,
"wooden walking stick with metal handle  - 0EJ051",181368,40.00,85.00%,40.00,,06-05-2026,05-10-2026,34.00,
"Cyberpunk 2.0.2.0. Second Edition RPG Core Rulebook R. Talsorian Games  - 0EJ09B",181797,55.00,85.00%,55.00,,06-05-2026,05-12-2026,46.75,
"Demonia Riot-14 Black Leather Goth Combat Boots Mens US 12  - 0EJ09N",182109,115.00,85.00%,115.00,,06-05-2026,05-14-2026,97.75,
"Official Advanced Dungeons & Dragons (AD&D) Players Handbook  - 0EJ058",182214,45.00,85.00%,45.00,,06-05-2026,05-15-2026,38.25,
"Tunnels and Trolls Rule Book and Game Guide Lot  - 0EJ067",182214,120.00,85.00%,120.00,,06-05-2026,05-15-2026,102.00,
"NWT White House Black Market Women's Dark Green Laced Waist Jacket Small  - 0EJ09J",182427,65.00,85.00%,65.00,,06-05-2026,05-16-2026,55.25,
"Solitary Witch by Silver RavenWolf  - 0EJ07P",182472,10.00,85.00%,10.00,,06-05-2026,05-16-2026,8.50,
"Pokemon Surging Sparks Booster Bundle  - 0EJ09V",182511,55.00,85.00%,55.00,,06-05-2026,05-16-2026,46.75,
"Pokemon White Flare Booster Bundle  - 0EJ09W",182513,65.00,85.00%,65.00,,06-05-2026,05-16-2026,55.25,
"Mysterium board game  - 0EJ0A1",182753,25.00,85.00%,25.00,,06-05-2026,05-16-2026,21.25,
"FunkoVerse Harry Potter Strategy Game  - 0EJ01X",182845,19.00,85.00%,19.00,,06-05-2026,05-16-2026,16.15,
"Cat in the Box  - 0EJ03E",183049,15.00,85.00%,15.00,,06-05-2026,05-17-2026,12.75,
"TRIPP NYC Men's Black Cargo Pants XS with Blue Stitching and Straps  - 0EJ08J",183110,110.00,85.00%,110.00,,06-05-2026,05-17-2026,93.50,
"Dungeons & Dragons Birthright Boxed Set 2nd Edition TSR  - 0EJ07L",183118,90.00,85.00%,90.00,,06-05-2026,05-17-2026,76.50,
"Tripp NYC Black Patent Zipper Pants Size 29/9  - 0EJ06D",183443,90.00,85.00%,90.00,,06-05-2026,05-19-2026,76.50,
"Darque by Coquette Women's Black Corset Size S NWT  - 0EJ0A6",183443,65.00,85.00%,65.00,,06-05-2026,05-19-2026,55.25,
"Metaphysical Paperback Book  - 0EJ09G",183602,15.00,85.00%,15.00,,06-05-2026,05-20-2026,12.75,
"XXL Purple Brocade Faux Leather Buckle Clip Corset  - 0EJ0AF",183629,45.00,85.00%,45.00,,06-05-2026,05-20-2026,38.25,
"Black Faux Leather Zip Front Lace-Up Corset Top XL  - 0EJ0A4",183629,35.00,85.00%,35.00,,06-05-2026,05-20-2026,29.75,
"Metaphysical Paperback Book  - 0EJ09G",183676,15.00,85.00%,15.00,,06-05-2026,05-21-2026,12.75,
"Charmian Women's Patchwork Steampunk Corset Brocade Lace Up Skull Chains Sz L  - 0EJ0AM",183739,45.00,85.00%,45.00,,06-05-2026,05-21-2026,38.25,
"Black Corset Top Women's Sz. XL NWT  - 0EJ0A3",183809,35.00,85.00%,35.00,,06-05-2026,05-21-2026,29.75,
"Irie Vibes Black Ribbed Knit Sequin Long Sleeve Cardigan Top Y2K Size 10  - 0EJ0AJ",183924,35.00,85.00%,35.00,,06-05-2026,05-22-2026,29.75,
"Official Advanced Dungeons & Dragons Wilderness Survival Guide (TSR, 1986)  - 0EJ056",184242,30.00,85.00%,30.00,,06-05-2026,05-23-2026,25.50,
"Chrome #1 Cyberpunk Tsunami Studios 1996  HW  - 0EJ00M",184250,10.00,85.00%,10.00,,06-05-2026,05-23-2026,8.50,
"Terraforming Mars: Venus Next (Expansion only)  - 0EJ04G",184399,15.00,85.00%,15.00,,06-05-2026,05-23-2026,12.75,
"Advanced Dungeons & Dragons 1st Edition Oriental Adventures Hardcover Rulebook  - 0EJ05A",184499,25.00,85.00%,25.00,,06-05-2026,05-24-2026,21.25,
"Official Advanced Dungeons & Dragons Unearthed Arcana Rulebook  - 0EJ05B",184499,35.00,85.00%,35.00,,06-05-2026,05-24-2026,29.75,
"Board Game Cubitos  - 0EJ02W",184668,25.00,85.00%,25.00,,06-05-2026,05-24-2026,21.25,
"Old Style Conjure by Casas  - 0EJ07U",184828,15.00,85.00%,15.00,,06-05-2026,05-24-2026,12.75,
"Dune Game (Gale Force 9 Edition)  - 0EJ0B4",184897,65.00,85.00%,65.00,,06-05-2026,05-25-2026,55.25,
"Frosthaven  - 0EJ0B1",184917,60.00,85.00%,60.00,,06-05-2026,05-25-2026,51.00,
"Tripp NYC Red Black Polka Dot Pleated Mini Skirt XL Goth Punk Emo Scene  - 0EJ01S",185182,55.00,85.00%,55.00,,06-05-2026,05-25-2026,46.75,
"Vintage  Paperback Books J.R.R. Tolkien  - 0EJ09E",185336,15.00,85.00%,15.00,,06-05-2026,05-26-2026,12.75,
"Tripp NYC Black Pyramid Studded Lace-Up Combat Boots Women's Size 4  - 0EJ09S",185362,65.00,85.00%,65.00,,06-05-2026,05-26-2026,55.25,
"Capt. Jules' Extra-Ordinary Steampunk Hip Flask w/ Decorative Gauge IOB ThinkGeek Novelty  - 0EJ01K",185443,20.00,85.00%,20.00,,06-05-2026,05-27-2026,17.00,
"Gothic Art Now by Jasmine Becket-Griffith Hardcover Art Book  - 0EJ08S",185443,35.00,85.00%,35.00,,06-05-2026,05-27-2026,29.75,
"The Hobbit An Unexpected Journey FilmCells Framed Display COA Trend Setters  - 0EJ08A",185494,70.00,85.00%,70.00,,06-05-2026,05-27-2026,59.50,
"D&D 5e The Wild Beyond The Witchlight Carnival Dice & Miscellany NIB  - 0EJ091",185663,35.00,85.00%,35.00,,06-05-2026,05-29-2026,29.75,
"Spirit Island  - 0EJ04D",185675,45.00,85.00%,45.00,,06-05-2026,05-29-2026,38.25,
"Harry Potter Severus Snape Wand Replica Dragon Alley Collectible Box  - 0EJ01Q",185824,35.00,85.00%,35.00,,06-05-2026,05-29-2026,29.75,
"Spanx Faux Leather Leggings  - 0EJ00Y",185905,25.00,85.00%,25.00,,06-05-2026,05-30-2026,21.25,
"D&D 3.5e Book of Vile Darkness RPG Core Rulebook  - 0EJ0BT",186090,80.00,85.00%,80.00,,06-05-2026,05-30-2026,68.00,
"docs!  - 0EJ0CA",186164,80.00,85.00%,80.00,"Sale: 8.00",06-05-2026,05-30-2026,68.00,
"J.R.R. Tolkien The Silmarillion 1977 Paperback Book Fantasy Novel  - 0EJ0C8",186249,25.00,85.00%,25.00,,06-05-2026,05-31-2026,21.25,
"Before the Earth Explodes  - 0EJ034",186286,9.00,85.00%,9.00,,06-05-2026,05-31-2026,7.65,
"Broom Service Game  - 0EJ0B8",186286,9.00,85.00%,9.00,,06-05-2026,05-31-2026,7.65,
"Vintage Art Krugman Red Metallic Iridescent Blouse Y2K Goth  - 0EJ0AK",186392,40.00,85.00%,40.00,,06-05-2026,05-31-2026,34.00,
"H.P. Lovecraft Tales of Horror Hardcover Canterbury Classics  - 0EJ0AT",186455,35.00,85.00%,35.00,,06-05-2026,05-31-2026,29.75,
"(Credit) Space Rental 05/31/2026",,,,,,05-31-2026,-382.50,,
"Total for payout",,,,,,,,"2,488.80",
,,,,,,,,,
"TRIPP NYC Black Goth Punk Long Coat Jacket with Frog Closures and Mandarin Collar  - 0EJ01B",173755,45.00,85.00%,45.00,,05-04-2026,04-04-2026,38.25,
"Tripp NYC Black Bondage Goth Punk Rave Cargo Pants with Chains and Straps  - 0EJ025",173831,85.00,85.00%,85.00,,05-04-2026,04-04-2026,72.25,
"Tripp NYC Black Grommet Side Pants NWT  - 0EJ00X",173906,45.00,85.00%,45.00,,05-04-2026,04-04-2026,38.25,
"Feelhappy Women's Vintage Y2K Goth Blouse Black Red Floral Sheer Size 15  - 0EJ01G",173956,35.00,85.00%,35.00,,05-04-2026,04-04-2026,29.75,
"FunkoVerse Nightmare Before Christmas Strategy Game  - 0EJ01Y",174046,19.00,85.00%,19.00,,05-04-2026,04-04-2026,16.15,
"TRIPP NYC Black Goth Punk Duster Trench Coat Safety Pins Jacket  - 0EJ024",174059,110.00,85.00%,110.00,,05-04-2026,04-04-2026,93.50,
"My Hero Academia Collectable Card Game  - 0EJ03X",174094,5.00,85.00%,5.00,,05-04-2026,04-05-2026,4.25,
"Tripp NYC Daang Goodman Black Neon Green Cyber Goth Bondage Rave Pants M  - 0EJ01T",174120,85.00,85.00%,85.00,,05-04-2026,04-05-2026,72.25,
"Dungeons & Dragons D&D 5th Edition Starter Set RPG Box Green Dragon  - 0EJ01E",174392,10.00,85.00%,10.00,,05-04-2026,04-06-2026,8.50,
"Ticket to Ride  - 0EJ04L",174459,28.00,85.00%,28.00,,05-04-2026,04-07-2026,23.80,
"Pokemon ETB Mega Evolution  - 0EJ020",174550,85.00,85.00%,85.00,,05-04-2026,04-07-2026,72.25,
"Pokemon Booster Bundle Mega Evolution FFlames  - 0EJ022",174550,49.00,85.00%,49.00,,05-04-2026,04-07-2026,41.65,
"Planted  - 0EJ043",174564,15.00,85.00%,15.00,"Sale: 1.50",05-04-2026,04-07-2026,12.75,
"Tripp NYC Black Laced Moto Jacket  - 0EJ04W",174651,75.00,85.00%,75.00,,05-04-2026,04-08-2026,63.75,
"Cyberpunk A Forlorn Hope CP3101 RPG Adventure Module R. Talsorian Games 1991  - 0EJ009",174822,45.00,85.00%,45.00,"Sale: 4.50",05-04-2026,04-09-2026,38.25,
"Cyberpunk Hardwired The Sourcebook 1989 RPG TTRPG Sealed R. Talsorian Games  - 0EJ00J",174822,45.00,85.00%,45.00,"Sale: 4.50",05-04-2026,04-09-2026,38.25,
"Two-tone cream and black overbust corset with front hook-and-eye clasps and back lacing  - 0EJ015",174998,35.00,85.00%,35.00,,05-04-2026,04-10-2026,29.75,
"Werewords  - 0EJ04R",175157,15.00,85.00%,15.00,,05-04-2026,04-11-2026,12.75,
"Dune Imperium  - 0EJ03L",175233,35.00,85.00%,35.00,,05-04-2026,04-11-2026,29.75,
"Hot Topic Black Studded & Chain Capri Pants  - 0EJ04Z",175415,30.00,85.00%,30.00,"Sale: 3.00",05-04-2026,04-11-2026,25.50,
"Official Advanced Dungeons & Dragons Monster Manual, 1st Edition (1977), by Gary Gygax, TSR Inc  - 0EJ057",175536,75.00,85.00%,75.00,,05-04-2026,04-12-2026,63.75,
"Dragonseye by Anne McCaffrey Hardback  - 0EJ060",175592,10.00,85.00%,10.00,,05-04-2026,04-12-2026,8.50,
"Red and black striped overbust corset with buckles and side lacing  - 0EJ018",175632,20.00,85.00%,20.00,,05-04-2026,04-12-2026,17.00,
"The Australian Outback Collection XL Waxed Cotton Duster Utility Coat  - 0EJ02A",175708,75.00,85.00%,75.00,,05-04-2026,04-12-2026,63.75,
"The Tea Dragon Society Card Game  - 0EJ04J",175866,15.00,85.00%,15.00,,05-04-2026,04-13-2026,12.75,
"Cyberpunk 2020 Chrome Book TTRPG Supplement R. Talsorian Games CP3701 Sealed  - 0EJ00P",176025,35.00,85.00%,35.00,,05-04-2026,04-14-2026,29.75,
"Blackbeard the Golden Age of Piracy  - 0EJ038",176263,28.00,85.00%,28.00,,05-04-2026,04-16-2026,23.80,
"VampireFreaks Black Tripp Style Buckle Strap Pants  - 0EJ00V",176481,35.00,85.00%,35.00,,05-04-2026,04-17-2026,29.75,
"Advanced Dungeons & Dragons Dungeon Masters Guide, 1st Edition (TSR, 1979 Copyright, Black Cover)  - 0EJ059",176618,40.00,85.00%,40.00,,05-04-2026,04-18-2026,34.00,
